累计确诊,累计治愈,累计死亡,疑似,时间,地点
274,31,1,0,2020/02/05,北京
69,2,1,0,2020/02/05,天津
157,7,1,133,2020/02/05,河北
90,6,0,42,2020/02/05,山西
46,4,0,7,2020/02/05,内蒙古
89,4,0,0,2020/02/05,辽宁
59,2,0,69,2020/02/05,吉林
227,7,3,222,2020/02/05,黑龙江
254,15,1,196,2020/02/05,上海
373,26,0,0,2020/02/05,江苏
954,81,0,0,2020/02/05,浙江
591,23,0,0,2020/02/05,安徽
215,11,0,78,2020/02/05,福建
600,37,0,0,2020/02/05,江西
343,18,0,85,2020/02/05,山东
851,54,2,45,2020/02/05,河南
19665,633,549,0,2020/02/05,湖北
711,56,0,0,2020/02/05,湖南
944,49,0,148,2020/02/05,广东
168,14,0,391,2020/02/05,广西
100,5,1,0,2020/02/05,海南
389,15,2,0,2020/02/05,重庆
321,27,1,0,2020/02/05,四川
69,6,0,37,2020/02/05,贵州
128,5,0,149,2020/02/05,云南
1,0,0,0,2020/02/05,西藏
173,6,0,238,2020/02/05,陕西
62,6,0,14,2020/02/05,甘肃
18,3,0,0,2020/02/05,青海
40,1,0,39,2020/02/05,宁夏
36,0,0,0,2020/02/05,新疆
11,0,0,0,2020/02/05,台湾
21,0,1,0,2020/02/05,香港
10,0,0,0,2020/02/05,澳门
297,33,1,157,2020/02/06,北京
79,2,0,0,2020/02/06,天津
171,16,1,117,2020/02/06,河北
96,12,0,54,2020/02/06,山西
50,0,0,9,2020/02/06,内蒙古
95,6,0,0,2020/02/06,辽宁
65,4,1,71,2020/02/06,吉林
277,8,3,210,2020/02/06,黑龙江
269,25,1,166,2020/02/06,上海
408,38,0,0,2020/02/06,江苏
1006,98,0,0,2020/02/06,浙江
665,34,0,0,2020/02/06,安徽
224,15,0,94,2020/02/06,福建
661,45,0,0,2020/02/06,江西
379,31,0,96,2020/02/06,山东
914,68,3,66,2020/02/06,河南
22112,817,618,0,2020/02/06,湖北
772,91,0,0,2020/02/06,湖南
1018,68,0,170,2020/02/06,广东
172,17,0,0,2020/02/06,广西
111,8,2,0,2020/02/06,海南
411,24,2,0,2020/02/06,重庆
344,37,1,0,2020/02/06,四川
77,6,0,54,2020/02/06,贵州
135,7,0,123,2020/02/06,云南
1,0,0,0,2020/02/06,西藏
184,11,0,260,2020/02/06,陕西
67,9,0,21,2020/02/06,甘肃
18,3,0,0,2020/02/06,青海
43,1,0,39,2020/02/06,宁夏
39,0,0,0,2020/02/06,新疆
16,0,1,0,2020/02/06,台湾
24,0,1,0,2020/02/06,香港
10,0,1,0,2020/02/06,澳门
315,34,2,0,2020/02/07,北京
81,2,1,0,2020/02/07,天津
195,25,1,0,2020/02/07,河北
104,15,0,0,2020/02/07,山西
52,5,0,0,2020/02/07,内蒙古
99,7,0,0,2020/02/07,辽宁
69,4,1,0,2020/02/07,吉林
281,12,5,0,2020/02/07,黑龙江
281,30,1,0,2020/02/07,上海
439,43,0,0,2020/02/07,江苏
1048,127,0,0,2020/02/07,浙江
